id;rooms;latlong;floors;area;description;freeOfCharge;imageUrl;createAt;sellerId;sellerName;sellerPhone;categoryId;categoryName
1;5;47.5410485803319,19.1516419487702;1;165;;0;https://drive.google.com/file/d/1qs5XyJNnnT_meJn_qVJLwASvY1By2bVj;2021-11-17;56;Fazekas Zoltán;+36 1 9929-8217;1;ház
2;5;47.4010485803319,19.1536419487702;3;145;;1;https://drive.google.com/file/d/1rxOCx-iRm2I92A1KranthDq86tdM4MQi;2021-10-13;16;Marok Nyikolaj;+36 1 8139-4405;1;ház
3;5;47.5760485803319,19.1616419487702;4;150;;1;https://drive.google.com/file/d/1sYbvNK4_SKKq2zOIDW53lm8HCXqF7woO;2022-01-19;61;Bur Kolos;+36 1 3652-1187;1;ház
6;5;47.4210485803319,18.9906419487702;1;150;;0;https://drive.google.com/file/d/1sVIIeO80kpKhkPS3o4bk7k64_x3qMfkJ;2021-10-05;213;Godz Ila;+36 1 1976-3679;1;ház
11;2;47.4200485803319,19.0646419487702;2;65;;1;https://drive.google.com/file/d/1rNXGW2H7LG2RFcEOfIpyTP9_lFVV1NZ2;2022-02-01;123;Ápry Lisa;+36 1 8413-6094;1;ház
16;4;47.5410485803319,19.0886419487702;4;145;;1;https://drive.google.com/file/d/1qdU5ynDGGx6Exc9s8oE6dfCJ1LMOx6EM;2021-10-05;312;Bacskai Mihály;+36 1 4996-5351;1;ház
17;5;47.3950485803319,19.1196419487702;3;180;;1;https://drive.google.com/file/d/1sDgl74Aj76rzTPwLuLL3OGVwcjZy9XX-;2021-11-19;10;Rekurz Iván;+36 1 3973-7021;1;ház
18;3;47.3980485803319,19.0206419487702;2;90;;1;https://drive.google.com/file/d/1q_gGeRN1CifVp1wQ_QWksnn5BAKbVOSn;2022-02-03;24;Fer Enci;+36 1 6920-6507;1;ház
19;5;47.5710485803319,19.1526419487702;4;140;;1;https://drive.google.com/file/d/1seI-0QF6m_LHj6dwm4gJ390EdfHZIPBM;2022-02-02;46;Némethy Zsófia;+36 1 3494-2935;1;ház
20;1;47.5360485803319,19.1466419487702;2;40;;1;https://drive.google.com/file/d/1slR5WaRshT0uAx2jyvXOj-JshuFACGSi;2022-01-25;85;Kecskés Dániel Tamás;+36 1 1388-4882;1;ház
22;5;47.5050485803319,19.1416419487702;1;150;;1;https://drive.google.com/file/d/1sorJiEJkSPZE7bdr8ObTEEZqMtyg1kpe;2021-10-18;48;Nagy Ádám;+36 1 4504-5595;1;ház
23;2;47.4110485803319,19.0116419487702;2;55;;1;https://drive.google.com/file/d/1rSdEEX2eBfO157pbSlA3O6Fq1Q0CfH7Q;2021-12-05;6;Szikla Szilárd;+36 1 8618-6027;1;ház
24;5;47.5380485803319,19.1786419487702;1;165;;1;https://drive.google.com/file/d/1q_gGeRN1CifVp1wQ_QWksnn5BAKbVOSn;2021-12-13;82;Leskó András;+36 1 5240-3808;1;ház
25;5;47.4720485803319,19.1716419487702;1;240;;1;https://drive.google.com/file/d/1rFdK0gc1KV12RBj2av3sh4TpIDrLdtDx;2021-11-17;157;Bán Tamás;+36 1 9446-6211;1;ház
27;2;47.5200485803319,19.1616419487702;3;45;;1;https://drive.google.com/file/d/1sufiVE60JmFdEsRQbE3pUeAM2pCM6aX5;2021-12-06;275;Furi Kázmér;+36 1 9919-6448;1;ház
28;5;47.5440485803319,19.0456419487702;3;110;;1;https://drive.google.com/file/d/1rgvC9WGdtVcp-sJH-DJbp7HV_33c-X7U;2021-09-29;282;Bali Alexandra Mercédesz;+36 1 1575-7660;1;ház
30;3;47.4340485803319,19.1796419487702;0;100;;1;https://drive.google.com/file/d/1sBPbyW84_qCKwHoVf313Bl-LENLnr3J-;2022-01-10;321;Pataki Vince;+36 1 7294-6572;1;ház
33;5;47.4700485803319,19.0176419487702;0;210;;1;https://drive.google.com/file/d/1qv3b7t3yLkV9HF5TzbyY_-MKaft83bAB;2022-01-13;111;Kovács Adrienn;+36 1 7174-6885;1;ház
34;4;47.4410485803319,19.1626419487702;1;90;;1;https://drive.google.com/file/d/1sVT8P2AqtfmroUv5Y0oRGPMKeUiCO3UO;2021-12-23;266;Nemoda Tamás;+36 1 6726-8470;1;ház
38;5;47.5110485803319,19.1536419487702;1;155;;1;https://drive.google.com/file/d/1rLu0j76uj4_2wLjun2BPuOoegExBTsyL;2022-02-04;175;Nyomo Réka;+36 1 7718-7901;1;ház
39;4;47.3910485803319,18.9876419487702;0;125;;1;https://drive.google.com/file/d/1rnDfcOTchNAcjLxLU3x_f7uFliFibtVG;2021-10-27;244;Ér Emma;+36 1 1414-4563;1;ház
40;3;47.4660485803319,19.1336419487702;0;80;;1;https://drive.google.com/file/d/1qgRV5wlPh0XiUcx9H5kvKHQ2pTEspk1m;2021-10-13;22;Garabuczi Laura;+36 1 1672-9525;1;ház
41;1;47.4650485803319,19.0146419487702;1;45;;1;https://drive.google.com/file/d/1sVIIeO80kpKhkPS3o4bk7k64_x3qMfkJ;2022-01-12;226;Szabó Sandra;+36 1 1698-5971;1;ház
42;3;47.5600485803319,19.1096419487702;2;95;;1;https://drive.google.com/file/d/1sCQxE2fZVvogzkiqI0Sk8ylVLNOhoza0;2021-11-12;299;Lakatos Emese;+36 1 7708-3203;1;ház
46;5;47.5800485803319,19.1496419487702;1;185;;1;https://drive.google.com/file/d/1rSdEEX2eBfO157pbSlA3O6Fq1Q0CfH7Q;2022-02-10;96;Bekre Pál;+36 1 5895-6043;1;ház
47;5;47.3970485803319,19.1376419487702;4;165;;0;https://drive.google.com/file/d/1sB_tjZ8W_oqxygBg2AwHFNnCCKZOr_V5;2022-01-31;178;Mursa Krisztián;+36 1 4450-7684;1;ház
48;3;47.5240485803319,19.1266419487702;1;75;;1;https://drive.google.com/file/d/1sUkVjCwzMkqKEDrVivtbFTJ0AE6eW-7Z;2021-12-24;43;Radnóthy Péter Attila;+36 1 3679-6064;1;ház
51;1;47.4600485803319,19.0896419487702;2;45;;1;https://drive.google.com/file/d/1sDgl74Aj76rzTPwLuLL3OGVwcjZy9XX-;2022-02-14;370;Demeter Anna;+36 1 2672-9935;1;ház
52;5;47.5540485803319,19.1146419487702;1;225;;1;https://drive.google.com/file/d/1rj4uO_Ewmhir-7A0IHQBOVuK9-Ef3Dyk;2021-11-26;373;Bõrönd Ödön;+36 1 2709-2407;1;ház
54;2;47.5020485803319,19.1836419487702;1;65;;1;https://drive.google.com/file/d/1rqCETMo582rAUZd2DheACBDpjuICGNkO;2022-02-17;250;Bernát Csilla;+36 1 8180-8416;1;ház
55;2;47.4290485803319,19.1746419487702;0;75;;1;https://drive.google.com/file/d/1snpSjKUDvZUs9XI89qVb4hhMGcaY_v_z;2021-12-26;300;Kana Péter;+36 1 4350-5709;1;ház
56;2;47.5390485803319,19.1086419487702;2;75;;1;https://drive.google.com/file/d/1qh0nIM1Gn0zrO6Wkmf7iYxcYKKKPZszZ;2022-01-26;249;Bíró Olívia;+36 1 9189-6594;1;ház
57;3;47.4570485803319,19.0696419487702;1;65;;0;https://drive.google.com/file/d/1s_YB3Iz9rrM3dWAHePHV3OlseaU_rlKX;2021-10-14;372;Budipa Piroska;+36 1 4439-9700;1;ház
